2026-06-13 01:04:28 | INFO | __main__ | Pipeline command started | command=weekend-policy-compare
2026-06-13 01:10:10 | INFO | src.backtest.backtest_engine | Execution progress | signal=625/650, trades=434, balance=16121.36
2026-06-13 01:10:12 | INFO | src.backtest.backtest_engine | Execution progress | signal=650/650, trades=450, balance=16487.06
2026-06-13 01:10:12 | INFO | src.backtest.backtest_engine | START write backtest reports | output=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/force_close_friday_20_00
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | DONE write backtest reports | elapsed=0.8s
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | Backtest complete | trades=450, ending_balance=16487.06, reports=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/force_close_friday_20_00
2026-06-13 01:10:13 | INFO | src.backtest.weekend_policy_runner | DONE run weekend variant | elapsed=114.3s
2026-06-13 01:10:13 | INFO | src.backtest.weekend_policy_runner | Weekend variant 4/9 | name=force_close_friday_20_30
2026-06-13 01:10:13 | INFO | src.backtest.weekend_policy_runner | START run weekend variant | variant=force_close_friday_20_30
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | START load candles and calculate indicators
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | DONE load candles and calculate indicators | elapsed=0.0s
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | START generate strategy signals
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | DONE generate strategy signals | elapsed=0.4s
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | Signals generated | accepted=650, rejected=15,493
2026-06-13 01:10:13 | INFO | src.backtest.backtest_engine | Execution progress | signal=1/650, trades=0, balance=10000.00
2026-06-13 01:10:16 | INFO | src.backtest.backtest_engine | Execution progress | signal=25/650, trades=14, balance=10252.03
2026-06-13 01:10:19 | INFO | src.backtest.backtest_engine | Execution progress | signal=50/650, trades=33, balance=10702.58
2026-06-13 01:10:22 | INFO | src.backtest.backtest_engine | Execution progress | signal=75/650, trades=50, balance=11130.43
2026-06-13 01:10:28 | INFO | src.backtest.backtest_engine | Execution progress | signal=100/650, trades=70, balance=11332.75
2026-06-13 01:10:33 | INFO | src.backtest.backtest_engine | Execution progress | signal=125/650, trades=87, balance=11366.83
2026-06-13 01:10:38 | INFO | src.backtest.backtest_engine | Execution progress | signal=150/650, trades=109, balance=11347.18
2026-06-13 01:10:46 | INFO | src.backtest.backtest_engine | Execution progress | signal=175/650, trades=128, balance=11559.04
