event_id,event_time_utc,country,currency,event_name,impact,actual,forecast,previous,source
2022-02-05-usd-u6-unemployment-rate-cd0fdb9e,2022-02-05T09:30:00Z,United States,USD,U6 Unemployment Rate,HIGH,7.1%,,7.3%,nasdaq_economic_calendar
2022-02-05-usd-unemployment-rate-51cadcde,2022-02-05T09:30:00Z,United States,USD,Unemployment Rate,HIGH,4.0%,3.9%,3.9%,nasdaq_economic_calendar
2022-02-09-jpy-boj-board-member-nakamura-speaks-2409f1f5,2022-02-09T21:30:00Z,Japan,JPY,BoJ Board Member Nakamura Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-10-usd-fomc-member-bowman-speaks-6dd11436,2022-02-10T11:30:00Z,United States,USD,FOMC Member Bowman Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-10-usd-fomc-member-mester-speaks-ba989b61,2022-02-10T13:00:00Z,United States,USD,FOMC Member Mester Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-11-usd-cpi-8dc071b9,2022-02-11T09:30:00Z,United States,USD,CPI,HIGH,0.6%,0.5%,0.6%,nasdaq_economic_calendar
2022-02-11-usd-cpi-index-n-s-a-a2972306,2022-02-11T09:30:00Z,United States,USD,"CPI Index, n.s.a.",HIGH,281.15,280.39,278.80,nasdaq_economic_calendar
2022-02-11-usd-cpi-index-s-a-cd5c6e1d,2022-02-11T09:30:00Z,United States,USD,"CPI Index, s.a",HIGH,281.93,,280.13,nasdaq_economic_calendar
2022-02-11-usd-cpi-n-s-a-67e0a239,2022-02-11T09:30:00Z,United States,USD,"CPI, n.s.a",HIGH,0.84%,,0.31%,nasdaq_economic_calendar
2022-02-11-usd-core-cpi-92899c1b,2022-02-11T09:30:00Z,United States,USD,Core CPI,HIGH,6.0%,5.9%,5.5%,nasdaq_economic_calendar
2022-02-11-usd-core-cpi-index-2c918a16,2022-02-11T09:30:00Z,United States,USD,Core CPI Index,HIGH,286.43,,284.77,nasdaq_economic_calendar
